"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"RELIANCE","EQ","25-Apr-2022","       2758.80","       2742.40","       2758.40","       2663.65","       2696.00","       2695.00","       2711.20","    7874671","         21349802724.25","     282246"
"RELIANCE","EQ","26-Apr-2022","       2695.00","       2710.00","       2795.00","       2707.70","       2788.20","       2775.65","       2744.48","    5643066","         15487283096.85","     215190"
"RELIANCE","EQ","27-Apr-2022","       2775.65","       2755.85","       2828.00","       2755.05","       2776.00","       2778.35","       2794.98","    8924920","         24944937712.60","     380463"
"RELIANCE","EQ","28-Apr-2022","       2778.35","       2809.95","       2851.00","       2786.10","       2810.00","       2819.85","       2823.91","   11820892","         33381106175.20","     361970"
"RELIANCE","EQ","29-Apr-2022","       2819.85","       2856.15","       2856.15","       2777.30","       2799.70","       2790.25","       2817.63","    8406156","         23685432933.45","     231044"
"RELIANCE","EQ","02-May-2022","       2790.25","       2762.00","       2805.50","       2758.05","       2780.90","       2780.45","       2783.29","    4369022","         12160268319.90","     189251"
"RELIANCE","EQ","04-May-2022","       2780.45","       2785.00","       2790.00","       2676.30","       2692.00","       2693.65","       2728.03","    8882792","         24232482662.45","     277638"
"RELIANCE","EQ","05-May-2022","       2693.65","       2723.50","       2730.00","       2632.00","       2643.00","       2640.90","       2677.81","    7942721","         21269098539.05","     256514"
"RELIANCE","EQ","06-May-2022","       2640.90","       2612.20","       2659.00","       2593.55","       2628.00","       2620.65","       2619.88","    9068448","         23758282132.90","     291431"
"RELIANCE","EQ","09-May-2022","       2620.65","       2574.95","       2597.10","       2507.00","       2508.00","       2518.30","       2540.75","    8345649","         21204215137.35","     344258"
"RELIANCE","EQ","10-May-2022","       2518.30","       2495.00","       2526.60","       2458.00","       2461.70","       2474.65","       2495.14","    9004636","         22467846480.75","     329083"
"RELIANCE","EQ","11-May-2022","       2474.65","       2472.65","       2484.95","       2421.95","       2450.75","       2449.30","       2454.29","    7681157","         18851760949.05","     325039"
"RELIANCE","EQ","12-May-2022","       2449.30","       2427.50","       2434.85","       2370.00","       2403.50","       2399.40","       2400.60","    9456280","         22700752366.95","     359540"
"RELIANCE","EQ","13-May-2022","       2399.40","       2426.00","       2478.00","       2415.35","       2431.45","       2426.60","       2451.67","    8910998","         21846799849.40","     408746"
"RELIANCE","EQ","16-May-2022","       2426.60","       2434.45","       2481.00","       2416.65","       2428.05","       2427.20","       2444.28","    6201594","         15158412714.25","     244925"
"RELIANCE","EQ","17-May-2022","       2427.20","       2435.10","       2539.90","       2432.00","       2533.50","       2529.15","       2501.03","    7638666","         19104526814.40","     278980"
"RELIANCE","EQ","18-May-2022","       2529.15","       2539.65","       2570.00","       2508.25","       2542.25","       2538.35","       2535.87","    7973235","         20219114283.45","     293806"
"RELIANCE","EQ","19-May-2022","       2538.35","       2484.00","       2512.50","       2466.05","       2477.90","       2479.85","       2494.14","    6783641","         16919358308.20","     266213"
"RELIANCE","EQ","20-May-2022","       2479.85","       2512.50","       2644.40","       2502.00","       2628.85","       2624.45","       2569.30","   10057508","         25840801772.20","     366921"
"RELIANCE","EQ","23-May-2022","       2624.45","       2631.50","       2653.55","       2593.00","       2602.50","       2606.90","       2617.90","    7039144","         18427794860.95","     256879"
"RELIANCE","EQ","24-May-2022","       2606.90","       2607.00","       2638.00","       2597.70","       2615.05","       2615.85","       2619.42","    6243086","         16353268081.50","     238049"
"RELIANCE","EQ","25-May-2022","       2615.85","       2635.00","       2656.70","       2601.50","       2613.40","       2612.00","       2625.82","    5867760","         15407680360.40","     224077"
"RELIANCE","EQ","26-May-2022","       2612.00","       2624.40","       2634.90","       2548.00","       2589.00","       2587.10","       2587.30","    8252551","         21351851439.70","     295460"
"RELIANCE","EQ","27-May-2022","       2587.10","       2593.05","       2605.15","       2540.10","       2575.30","       2575.10","       2574.11","    7624888","         19627294687.95","     223459"
"RELIANCE","EQ","30-May-2022","       2575.10","       2615.00","       2674.00","       2594.20","       2668.00","       2664.80","       2640.57","    6393341","         16882083950.05","     176733"
"RELIANCE","EQ","31-May-2022","       2664.80","       2641.40","       2678.80","       2615.70","       2623.60","       2632.65","       2638.54","   32591420","         85993898870.00","     309551"
"RELIANCE","EQ","01-Jun-2022","       2632.65","       2634.30","       2655.20","       2616.20","       2635.00","       2633.50","       2638.15","    4512079","         11903542973.55","     165071"
"RELIANCE","EQ","02-Jun-2022","       2633.50","       2634.00","       2732.45","       2634.00","       2728.30","       2724.30","       2701.30","   10211408","         27584103887.40","     297958"
"RELIANCE","EQ","03-Jun-2022","       2724.30","       2744.00","       2817.35","       2742.00","       2778.00","       2779.50","       2793.34","   11048210","         30861449556.90","     353834"
"RELIANCE","EQ","06-Jun-2022","       2779.50","       2780.00","       2814.00","       2751.80","       2766.25","       2767.55","       2775.79","    5119488","         14210599849.75","     217253"
"RELIANCE","EQ","07-Jun-2022","       2767.55","       2769.90","       2791.10","       2752.05","       2767.05","       2772.75","       2773.03","    5703333","         15815485543.85","     232290"
"RELIANCE","EQ","08-Jun-2022","       2772.75","       2772.75","       2781.00","       2716.30","       2722.00","       2724.05","       2741.07","    5759172","         15786294151.30","     241691"
"RELIANCE","EQ","09-Jun-2022","       2724.05","       2710.00","       2803.00","       2710.00","       2796.05","       2798.75","       2763.87","    7973935","         22038890334.10","     281501"
"RELIANCE","EQ","10-Jun-2022","       2798.75","       2771.90","       2789.90","       2701.50","       2713.90","       2714.25","       2740.01","    8349943","         22878943836.30","     278759"
"RELIANCE","EQ","13-Jun-2022","       2714.25","       2650.00","       2672.80","       2616.30","       2668.00","       2662.90","       2646.30","    8131998","         21519668179.50","     303540"
"RELIANCE","EQ","14-Jun-2022","       2662.90","       2650.05","       2671.85","       2613.45","       2627.75","       2628.10","       2637.47","    6790653","         17910140469.65","     237522"
"RELIANCE","EQ","15-Jun-2022","       2628.10","       2617.55","       2637.30","       2584.40","       2595.80","       2596.30","       2613.39","    5166738","         13502708125.15","     214934"
"RELIANCE","EQ","16-Jun-2022","       2596.30","       2623.00","       2659.05","       2554.00","       2555.10","       2560.00","       2603.56","    7896943","         20560173723.70","     282387"
"RELIANCE","EQ","17-Jun-2022","       2560.00","       2560.00","       2624.85","       2556.10","       2605.05","       2590.00","       2592.42","   11286988","         29260639914.30","     287827"
"RELIANCE","EQ","20-Jun-2022","       2590.00","       2605.00","       2617.10","       2521.10","       2542.90","       2543.05","       2552.96","    5568825","         14216989371.65","     228914"
"RELIANCE","EQ","21-Jun-2022","       2543.05","       2560.00","       2593.40","       2528.30","       2582.00","       2584.10","       2562.46","    5408801","         13859827576.20","     219641"
"RELIANCE","EQ","22-Jun-2022","       2584.10","       2558.10","       2558.30","       2501.00","       2502.00","       2505.60","       2524.18","    4899839","         12368075581.25","     229961"
"RELIANCE","EQ","23-Jun-2022","       2505.60","       2515.05","       2525.00","       2445.00","       2469.00","       2464.95","       2485.55","    8974475","         22306490549.05","     400081"
"RELIANCE","EQ","24-Jun-2022","       2464.95","       2480.00","       2511.00","       2468.00","       2497.55","       2500.05","       2491.97","    6571866","         16376908912.20","     258066"
"RELIANCE","EQ","27-Jun-2022","       2500.05","       2544.95","       2544.95","       2481.55","       2495.60","       2492.65","       2511.81","    7141493","         17938104628.25","     245447"
"RELIANCE","EQ","28-Jun-2022","       2492.65","       2482.10","       2533.95","       2482.10","       2530.00","       2527.70","       2515.75","    6263867","         15758339977.00","     279432"
"RELIANCE","EQ","29-Jun-2022","       2527.70","       2507.20","       2597.00","       2501.00","       2576.00","       2580.15","       2559.16","    8863172","         22682290935.35","     383990"
"RELIANCE","EQ","30-Jun-2022","       2580.15","       2580.00","       2615.90","       2566.00","       2589.00","       2595.65","       2596.11","   10666627","         27691790169.90","     321110"
"RELIANCE","EQ","01-Jul-2022","       2595.65","       2574.90","       2592.00","       2365.00","       2406.00","       2408.70","       2434.35","   37841671","         92119994931.80","    1165095"
"RELIANCE","EQ","04-Jul-2022","       2408.70","       2378.95","       2442.00","       2366.10","       2413.00","       2413.70","       2412.08","   19317335","         46594929825.60","     525122"
"RELIANCE","EQ","05-Jul-2022","       2413.70","       2423.00","       2464.90","       2417.10","       2431.55","       2433.25","       2440.39","    8144239","         19875158179.60","     351338"
"RELIANCE","EQ","06-Jul-2022","       2433.25","       2420.10","       2441.95","       2388.00","       2415.00","       2411.85","       2410.61","   11050026","         26637248724.35","     392094"
"RELIANCE","EQ","07-Jul-2022","       2411.85","       2425.90","       2433.25","       2375.00","       2391.00","       2388.10","       2392.12","   10753423","         25723462115.35","     388023"
"RELIANCE","EQ","08-Jul-2022","       2388.10","       2418.00","       2418.00","       2382.55","       2391.00","       2391.40","       2393.99","    8773162","         21002872434.25","     310810"
"RELIANCE","EQ","11-Jul-2022","       2391.40","       2376.50","       2428.80","       2370.00","       2421.50","       2423.90","       2400.92","    6390604","         15343320840.20","     224208"
"RELIANCE","EQ","12-Jul-2022","       2423.90","       2404.00","       2439.70","       2404.00","       2418.80","       2420.45","       2424.68","    4974502","         12061561234.20","     203393"
"RELIANCE","EQ","13-Jul-2022","       2420.45","       2427.30","       2434.00","       2373.00","       2379.00","       2377.55","       2398.49","    6564435","         15744718033.45","     263635"
"RELIANCE","EQ","14-Jul-2022","       2377.55","       2388.00","       2433.95","       2376.95","       2399.00","       2397.15","       2398.08","    7831798","         18781243733.65","     257217"
"RELIANCE","EQ","15-Jul-2022","       2397.15","       2415.00","       2415.00","       2383.10","       2401.15","       2401.80","       2397.18","    4431880","         10623995556.20","     137878"
"RELIANCE","EQ","18-Jul-2022","       2401.80","       2421.00","       2425.00","       2392.30","       2423.00","       2422.25","       2408.23","    6996757","         16849806027.65","     212210"
"RELIANCE","EQ","19-Jul-2022","       2422.25","       2400.30","       2447.00","       2400.30","       2433.00","       2437.10","       2429.46","    7587006","         18432314366.20","     213280"
"RELIANCE","EQ","20-Jul-2022","       2437.10","       2540.00","       2542.50","       2486.25","       2499.00","       2503.00","       2506.66","   11041036","         27676129582.85","     325796"
"RELIANCE","EQ","21-Jul-2022","       2503.00","       2494.00","       2500.00","       2467.30","       2486.00","       2486.30","       2482.92","    7625468","         18933428050.10","     197537"
